year,sperm,oil,bone,tonnage,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch,pop_baleen,pop_sperm
1859,68.61901184846647,127.4541530677656,1170.750166758241,187676.6999053955,3019.2366,2336.6594,2575.6504,2575.6504,5594.8867,215092.55498661034,875126.8911899952
1860,65.2984481449239,100.5302899725275,936.7079381868128,171936.1165924072,2873.1318,1843.0553,2060.7576,2060.7576,4933.8896,212953.94713764323,872689.408972364
1861,60.2871636049822,77.05881199633691,712.8083131868137,148018.0332336426,2652.6353,1412.7449,1568.1783,1568.1783,4220.8135,211701.2825906708,870520.9947271466
1862,52.22256363602355,55.64192866300367,535.2631048534798,116611.9499130249,2297.7927,1020.1021,1177.5789,1177.5789,3475.3716,211293.82349897124,868746.5846112986
1863,43.69986956659704,52.9359631868132,565.774441758242,97319.28323364258,1922.7943,970.49268,1244.7037,1244.7037,3167.498,211555.1812788462,867592.7239923428
1864,35.37533841421828,58.22143580586083,658.9871274725276,85568.28327178955,1556.5149,1067.3929,1449.7717,1449.7717,3006.2866,211701.18636238907,867089.0130890073
1865,33.92138527869247,67.38918223443216,759.9573667582418,83217.53325653076,1492.5409,1235.4684,1671.9063,1671.9063,3164.4473,211496.20277020521,867215.5136741308
1866,37.57882186630741,68.94364294871794,770.9125369963369,81507.44995117188,1653.4681,1263.9668,1696.0076,1696.0076,3349.4756,210911.82075096123,867450.4376849191
1867,43.89933819323778,64.68765961538456,729.2038036630039,85539.78325653076,1931.5709,1185.9404,1604.2484,1604.2484,3535.8193,210287.47948996015,867408.3695911947
1868,46.55574925849214,58.78123461538463,618.1065869963368,82067.53327941895,2048.4529,1077.656,1359.8345,1359.8345,3408.2874,209821.33082912903,866891.0693403039
1869,45.38483251864091,59.36165128205127,534.2065453296705,80851.44995880127,1996.9326,1088.297,1175.2544,1175.2544,3172.187,209774.05162879734,866177.8761077629
1870,42.34488362446427,55.70788501221004,431.7131048534798,77757.8666305542,1863.1749,1021.3112,949.76886,1021.3112,2884.4861,210042.49610466044,865558.249948522
1871,36.98051905911416,47.52516190476192,361.1256666666669,66749.73993682861,1627.1428,871.29462,794.47644,871.29462,2498.4375,210573.65841689936,865172.0870777682
