year,sperm,oil,bone,tonnage,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch
1869,45.352332519833,59.25165128205131,534.2065453296701,80474.44995880127,1995.5027,1086.2803,1175.2544,1175.2544,3170.7571
1870,42.31728362478316,55.64398501221002,431.3031048534798,76704.8666305542,1861.9604,1020.1397,948.86682,1020.1397,2882.1001
1871,36.98051905911416,47.5251619047619,361.1256666666667,65977.19995880127,1627.1428,871.29462,794.47644,871.29462,2498.4375
1872,33.90345232142136,35.13150714285715,244.0713523809524,50290.03326416016,1491.752,644.07764,536.95697,644.07764,2135.8296
1873,32.08673332910985,29.938475,219.9551083333332,44090.11657714844,1411.8163,548.87207,483.90125,548.87207,1960.6884
1874,31.90002498961985,29.09952222222222,220.7529083333333,40361.61659240723,1403.6011,533.49121,485.6564,533.49121,1937.0923
1875,35.24298327416182,31.43524722222222,181.1117250000001,43087.81660461426,1550.6913,576.31287,398.4458,576.31287,2127.0042
1876,35.9726438196376,34.29159722222221,194.934186904762,46701.53327178955,1582.7964,628.67926,428.85522,628.67926,2211.4756
1877,38.2013046592474,29.39145555555556,147.4012154761905,46332.8666305542,1680.8574,538.84332,324.28268,538.84332,2219.7007
1878,36.36730465735309,30.17693055555557,192.0040071428571,46925.28330993652,1600.1614,553.24371,422.40881,553.24371,2153.405
1879,34.61904645129107,41.02919722222224,270.4449571428572,45180.0333404541,1523.238,752.20197,594.97888,752.20197,2275.4399
1880,32.87318808794953,42.26943888888886,398.9782238095239,43480.03332519531,1446.4203,774.9397,877.75208,877.75208,2324.1724
1881,28.42114649224095,35.21106388888889,241.7173238095238,43310.6999130249,1250.5304,645.53619,531.77814,645.53619,1896.0667
1882,23.1057715411298,23.87065555555555,238.9207238095238,37818.53324127197,1016.6539,437.62869,525.62561,525.62561,1542.2795
1883,20.0651666703634,18.57114999999999,137.6402333333333,37505.36656188965,882.86731,340.47107,302.8085,340.47107,1223.3384
1884,19.93713330850005,21.95961666666666,220.2277666666667,34556.03325653076,877.23389,402.59299,484.5011,484.5011,1361.735
1885,22.06777218542993,22.71614444444445,247.0761,32891.94992828369,970.98199,416.46265,543.56744,543.56744,1514.5494
1886,16.3123415959999,21.93810000000001,309.1412666666667,30123.19994354248,717.74304,402.19849,680.11078,680.11078,1397.8538
1887,14.44435829948634,21.73284166666665,374.5741333333334,27469.31658935547,635.55176,398.43542,824.06311,824.06311,1459.6149
1888,14.3908332772553,12.95979166666666,221.9971666666667,27290.78330993652,633.19666,237.59618,488.39377,488.39377,1121.5905
1889,14.09433340420946,12.00608333333333,178.2096666666667,27845.78327941895,620.1507,220.11153,392.06128,392.06128,1012.212
1890,10.73845836892724,12.98933333333333,218.5758333333333,22913.69995880127,472.49216,238.13777,480.86682,480.86682,953.35901
1891,8.739666695473716,11.680875,226.6918333333333,22019.11660766602,384.54535,214.14937,498.72205,498.72205,883.2674
1892,9.522916682530195,10.76588095238095,253.2751547619048,22473.06661987305,419.00833,197.37448,557.20532,557.20532,976.21362
1893,10.63937500864267,6.949630952380953,240.0521547619048,20472.78330230713,468.13251,127.4099,528.11475,528.11475,996.24725
1894,13.92179170995951,6.338797619047618,182.3602380952381,18949.19999694824,612.55884,116.21129,401.19254,401.19254,1013.7513
1895,12.21200015209615,3.232630952380953,110.3685714285714,15439.36664581299,537.328,59.2649,242.81085,242.81085,780.13885
1896,11.49395852722228,3.491089285714286,109.0385714285714,15103.36663818359,505.73416,64.003304,239.88486,239.88486,745.61902
1897,9.841666789725423,4.756214285714286,197.5819047619048,12991.78330230713,433.03333,87.197266,434.68018,434.68018,867.7135
1898,10.39858326129615,3.930714285714286,157.0819047619048,11710.28330993652,457.53766,72.063095,345.5802,345.5802,803.11786
1899,12.31400000303984,5.01375,237.0816666666667,12009.53330993652,541.81598,91.918747,521.57965,521.57965,1063.3956
1900,12.8802500590682,4.075333333333334,125.1916666666667,10747.11663818359,566.73102,74.714447,275.42166,275.42166,842.15271
1901,13.4406665340066,4.494083333333333,48.96666666666665,10484.94998168945,591.38934,82.391525,107.72667,107.72667,699.11603
1902,13.1167499916628,3.0165,78.05000000000001,9950.949981689453,577.13702,55.302502,171.71001,171.71001,748.84705
1903,14.00758335646242,1.571166666666667,69.56666666666666,11569.78331756592,616.33368,28.804722,153.04666,153.04666,769.38037
1904,12.25341657549143,2.569083333333334,101.87,10814.61664581299,539.15033,47.099861,224.114,224.114,763.26434
1905,12.60508331656456,3.067916666666668,82.07000000000002,10717.11664581299,554.62366,56.24514,180.554,180.554,735.17767
1906,13.56924999970943,2.997083333333333,43.76000000000001,10958.61664581299,597.047,54.946529,96.272003,96.272003,693.31897
1907,10.54829169996083,2.403333333333334,88.23333333333335,8757.783317565918,464.12485,44.061111,194.11333,194.11333,658.23816
1908,14.02916672080755,1.907083333333333,47.2,9143.283309936523,617.28333,34.963196,103.84,103.84,721.12329
1909,14.46300002932549,1.115,43.28333333333333,6509.449989318848,636.37201,20.441668,95.223335,95.223335,731.59534
1910,18.32787512242794,.5400000000000001,21.21666666666667,7125.616645812988,806.42651,9.8999996,46.676666,46.676666,853.10315
1911,18.03766661882401,.8316666666666666,95.96666666666667,7248.866645812988,793.65735,15.247222,211.12666,211.12666,1004.784
1912,17.28358327969909,.9016666666666666,19.16666666666667,6087.366645812988,760.47766,16.530556,42.166668,42.166668,802.64435
1913,16.55075001716614,.49,8.25,5238.866645812988,728.23297,8.9833336,18.15,18.15,746.383
1914,13.37970834970474,.09,7.75,4741.366645812988,588.70715,1.65,17.049999,17.049999,605.75714
1915,10.28133338689804,.06,0,2692.199989318848,452.37866,1.1,0,1.1,453.47867
1916,8.401333380490541,.6100000000000001,0,3053.699989318848,369.65866,11.183333,0,11.183333,380.84198
1917,3.679999973624945,.55,0,2205.866653442383,161.92,10.083333,0,10.083333,172.00333
1918,5.23083321750164,0,0,2295.39998626709,230.15666,0,0,0,230.15666
1919,4.759166583418846,.185,0,2386.199989318848,209.40334,3.3916667,0,3.3916667,212.795
1920,5.59224995970726,.44,0,2661.999992370605,246.05901,8.0666666,0,8.0666666,254.12567
1921,5.517499938607216,0,0,2383.999992370605,242.77,0,0,0,242.77
1922,3.180000022053719,.109,0,1885.999992370605,139.92,1.9983333,0,1.9983333,141.91833
1923,1.349999994039536,0,0,1500.499992370605,59.400002,0,0,0,59.400002
1924,.1500000059604645,0,0,2378.666664123535,6.6000004,0,0,0,6.6000004
1925,.300000011920929,0,0,961.3333282470703,13.200001,0,0,0,13.200001
1926,0,0,0,569,0,0,0,0,0
1927,0,0,0,131.3333282470703,0,0,0,0,0
